matrícula,período,disciplina,créditos,turma,grau,sit.final,professor
0612907,20101,PGM1838,4,UFX,8.6,AP,Andrew Tran
0612907,20102,LMU1326,2,SQE,8.2,AP,Les Nguyen
0612907,20102,TBA1383,4,QXY,7,AP,Elizabeth Olson
0612907,20102,CLS1569,4,IAG,6.9,AP,Janet Mayo
0612907,20102,TFL1187,4,IAG,8.9,AP,Samantha Garcia
0612907,20102,PSW1036,4,IAG,9.3,AP,Saul Kawamura
0612907,20102,OUT1489,4,CLF,5.1,AP,Berea Rojas-Dominquez
0612907,20111,AGD1579,4,ALD,8,AP,Kaylee Tracy
0612907,20111,LJU1802,4,DYN,10,AP,James Bogart
0612907,20111,OBK1818,4,AIU,,CL,Kayanna Banuelos Hernandez
0612907,20111,AKJ1977,4,UFI,2.1,RM,Hannah Davis
0612907,20112,BVC1700,4,TQA,0,RM,Kaylee Tracy
0612907,20112,EIZ1844,4,TQA,8.4,AP,Calida Williams-Mccarther
0612907,20112,SHX1607,4,IAG,0,RM,Cody Robinson
0612907,20112,QUT1986,4,IAG,3,RM,Alexander Bartelt
0612907,20121,BVC1700,4,VKK,,AT,Kaylee Tracy
0612907,20121,AFE1114,4,IAG,,AT,Carsen Williams
0612907,20121,ZKO1742,4,IAG,,AT,Carsen Williams
0612907,20121,OOR1975,4,IAG,,AT,Remy Mutagamba
0612907,20121,IDF1211,4,IAG,,AT,Shianne Mcmillan
0612907,20121,QKR1437,2,FZD,,AT,Anthony Fischer
0612830,20061,AZB1132,2,OMD,8.9,AP,Erin Luevano
0612830,20061,WRC1627,4,OMD,1.4,RM,Aaliyah Plascencia
0612830,20061,WWW1814,5,OMD,0.3,RM,Cameron Nguyen
0612830,20061,HXZ1743,2,OMD,0.3,RM,Cameron Nguyen
0612830,20061,HBF1988,4,OMD,6.3,AP,Alexandra Williams
0612830,20072,HWO1727,4,REB,5.5,AP,Elizabeth Olson
0612830,20072,WRC1627,4,UKE,3.5,RM,Aaliyah Plascencia
0612830,20072,WJB1342,4,BFR,,CL,Brooke Gilbert
0612830,20072,WJB1342,4,HLB,,CD,Jonathan Coutu
0612830,20072,XMM1516,2,ZBI,6.4,AP,Hannah Martinez
0612830,20072,YIV1842,6,WXA,1.8,RM,Alsunbayar Martinez
0612830,20072,DWU1433,4,SCP,,CL,Robert Sanchez
0612830,20081,QNI1752,4,VNM,,AT,Veronica Haddan
0612830,20081,VRL1694,4,AIU,,AT,Joanne Stewart III
0612830,20081,OBS1959,6,UKE,,AT,Alsunbayar Martinez
0612830,20081,OKQ1453,2,TPC,,AT,Patrick Newbury
0612830,20081,DWU1433,4,AIU,,LT,D'Ambara Santos
0612830,20082,QNI1752,4,RDU,,CL,Dominic Banchongchith
0612830,20082,KIU1613,4,YZA,0.3,RM,Jocelyn Gutierrez
0612830,20082,OPG1830,2,BFR,1.8,RM,Jo'Vonte Miyagi
0612830,20082,MKK1957,4,HLB,0.4,RM,Jordan Dixon Jr
0612830,20082,GLJ1776,6,XOG,0.3,RM,Briana Taylor
0612830,20082,GLJ1776,6,QFI,,CJ,Andrea Otero
0710865,20071,AZB1132,2,HLB,7.5,AP,Mariah Martinez
0710865,20071,KFS1369,4,UPY,1.2,RM,Sophie Reyes Velasco
0710865,20071,GNR1825,2,UPY,8.4,AP,Jocelyn Gutierrez
0710865,20071,GLJ1776,6,UPY,0.9,RM,Lan Clark
0710865,20071,AKJ1977,4,UPY,,CL,Stephanie Hughes
0710865,20071,HBF1988,4,UPY,1.3,RM,Alexandra Williams
0710865,20072,KFS1369,4,SCP,3.5,RM,Joseph Chapman
0710865,20072,KFS1369,4,BFR,,CD,Jocelyn Gutierrez
0710865,20072,WJB1342,4,UPY,8.4,AP,Mariah Martinez
0710865,20072,GLJ1776,6,SCP,0.6,RM,Lael Barnes
0710865,20072,GLJ1776,6,XOG,,CD,Briana Taylor
0710865,20072,YIL1859,8,PAZ,,CL,Karla Wilson
0710865,20081,QNI1752,4,SQE,,CL,Nicole Dailey
0710865,20081,HWO1727,4,REB,0,RM,Elizabeth Olson
0710865,20081,LBG1213,4,YZA,5.5,AP,Emi Sparks
0710865,20081,PBJ1031,4,VNU,0,RF,Kokenia Zapata Figueroa
0710865,20081,XMM1516,2,REB,,CL,Anthony Iron Cloud
0710865,20091,GUO1361,2,IAG,7.7,AP,Ahmed Hoang
0710865,20091,GOZ1785,4,IAG,0.8,RM,Cody Robinson
0710865,20091,DAN1561,4,CLF,4.1,RM,Ahmed Hoang
0710865,20091,HOW1491,2,CLF,,CJ,Janet Mayo
0710865,20091,HCV1283,4,IAG,0,RM,Ahmed Hoang
0710865,20091,PBJ1031,4,IAG,,CL,Gerardo Nguyen
0710865,20091,GLJ1776,6,UKE,3.2,RM,Kiearra Madera
0713895,20071,QNI1752,4,QUL,9.7,AP,Felicia Charles
0713895,20071,DPP1284,4,JDY,8.7,AP,Idalis Martinez De La Torre
0713895,20071,OWS1045,4,JDY,6,AP,Francisco Kang
0713895,20071,IEW1542,2,JDY,6.8,AP,Michael Lam
0713895,20071,CUC1195,6,JDY,7.4,AP,Michael Lam
0713895,20071,RMQ1679,4,JDY,9.5,AP,Gregory Mangunsong
0713895,20072,HDZ1240,4,SQE,10,AP,Felicia Charles
0713895,20072,TBA1383,4,ZKK,8.2,AP,Sheyla Ramirez Benzor
0713895,20072,ZQI1906,2,IXT,,CD,Zachary Maynard
0713895,20072,ZQI1906,2,JDY,,CJ,Jelicha Page
0713895,20072,FYB1103,2,EJR,7.5,AP,Drew Tang
0713895,20072,FYB1103,2,JDY,,CJ,Drew Tang
0713895,20072,GFC1046,2,LQU,7.2,AP,Zachary Maynard
0713895,20072,GFC1046,2,JDY,,CJ,Nallely Roybal
0713895,20072,HXE1204,2,LQU,8.5,AP,Justin Lindsay
0713895,20072,HXE1204,2,JDY,,CJ,Nicholas Auyeung
0713895,20072,HDB1295,2,JDY,5.1,AP,Heidi Countryman
0713895,20072,MPX1395,6,LQU,4.2,RM,Sylis Coen
0713895,20072,MPX1395,6,JDY,,CJ,Francisco Kang
0713895,20072,WKW1070,4,IXT,8.1,AP,Abigail Costa
0713895,20072,WKW1070,4,JDY,,CJ,Steven Lee
0713895,20081,ARQ1932,4,LQU,6,AP,Bailey Arnold
0713895,20081,ZQI1906,2,IXT,7.3,AP,Jelicha Page
0713895,20081,CEY1890,4,IXT,,CL,Draven Mckinney
0713895,20081,CEY1890,4,JDY,,CJ,Sethan Nguyen
0713895,20081,LRW1637,4,IXT,,CL,Hallie Robinson
0713895,20081,LRW1637,4,JDY,,CJ,Heidi Countryman
0713895,20081,QSQ1863,4,IXT,,CL,Karesha Segovia
0713895,20081,QSQ1863,4,JDY,,CJ,Channa Montiel
0713895,20081,MPX1395,6,JDY,,CL,Francisco Kang
0713895,20081,OWM1192,4,IXT,9.3,AP,Otis Xiong
0713895,20082,KIU1613,4,YZA,7.3,AP,Jocelyn Gutierrez
0713895,20082,OPG1830,2,SCP,8.9,AP,Jocelyn Gutierrez
0713895,20082,GLJ1776,6,XOG,8.9,AP,Briana Taylor
0713895,20082,AKJ1977,4,XOG,6.7,AP,Roman Asakawa
0713895,20082,OKQ1453,2,VWA,9.1,AP,John Lofton
0713895,20082,DWU1433,4,UKE,4.4,RM,Robert Sanchez
0720976,20072,UWQ1125,3,DXM,10,AP,Sonia Dimas
0720976,20072,AUJ1624,2,ZOD,8.4,AP,Jazmyne Gaytan
0720976,20072,ZXD1314,10,EEP,8.8,AP,Imani De Lara
0720976,20072,PAT1594,2,XPZ,8.4,AP,Andy Duran
0720976,20072,ILR1937,2,XPZ,5.7,AP,Jamie Bedu Annan
0720976,20072,OTJ1733,3,ZOD,8.2,AP,Nkaujiaong Green
0720976,20072,PUG1292,4,XWG,9,AP,Amina Aragon
0720976,20072,JFV1877,2,QFR,7.2,AP,Aleah Tafoya
0720976,20081,QNI1752,4,UQY,9,AP,Veronica Haddan
0720976,20081,QNI1752,4,QBW,,CD,Cameron Fisher
0720976,20081,ERA1874,10,EEP,8.8,AP,Adriel Anderson
0720976,20081,YIH1531,2,QFR,9.8,AP,Myles Singh
0720976,20081,TBF1481,2,XPZ,7.7,AP,Nkaujiaong Green
0720976,20081,RVI1591,3,SNF,9.6,AP,Jazmyne Gaytan
0720976,20081,SFB1891,3,ZOD,,CL,Matthew Joe
0720976,20081,RTW1504,2,QFR,9.3,AP,Anila York
0720976,20082,KBR1233,2,REU,7.8,AP,Matthew Wanberg
0720976,20082,LKR1066,10,ZOD,4.6,RM,Jacob Munoz
0720976,20082,OQO1824,3,DXM,,CD,Phillip Nguyen
0720976,20082,OQO1824,3,NZQ,9.9,AP,Day-Vion Strychalski
0720976,20082,EEY1789,3,NZQ,,CL,Corey West
0720976,20082,ONX1089,3,XPZ,8.1,AP,Justin Johnson
0720976,20082,ZTD1349,4,MUV,9.9,AP,Emilio Morgan
0720976,20091,ZQT1470,3,ZOD,,CL,Ganell Bingham
0720976,20091,ZQT1470,3,DXM,,CD,Tyree Dhakal
0720976,20091,LKR1066,10,EEP,,CL,Angelique Gilsdorf
0720976,20091,ESL1478,2,ZOD,,CL,Justin Johnson
0720976,20091,SFX1543,3,XPZ,,CD,Phillip Nguyen
0720976,20091,SFX1543,3,DXM,7.8,AP,Samuel Castro
0720976,20091,JER1962,2,XPZ,8.6,AP,Yonatan Hasbrouck
0720976,20091,VEY1791,2,XPZ,7,AP,Courtney Sherman
0720976,20092,ZQT1470,3,ZOD,9,AP,Ganell Bingham
0720976,20092,ZLF1756,2,ZNR,9.6,AP,Taryn Mckiver
0720976,20092,LKR1066,10,XWG,,CL,Damian Williams
0720976,20092,EEY1789,3,NZQ,,CL,Corey West
0720976,20092,DLB1348,3,QFR,9.8,AP,Brittany Tyler
0720976,20101,LKR1066,10,EEP,,AT,Sebastian Elliott
0720976,20101,NJD1895,4,QFR,,AT,Angelique Gilsdorf
0720976,20101,XXQ1884,2,SIP,,AT,Ohitike Mccorvey
0720976,20102,YRU1037,4,CLF,4.2,RM,Desmond Yang
0720976,20102,GUO1361,2,CLF,6.6,AP,Ahmed Hoang
0720976,20102,GOZ1785,4,CLF,5,AP,Giovanni Kim
0720976,20102,PBJ1031,4,CLF,1.1,RM,Gerardo Nguyen
0720976,20102,GLJ1776,6,TPC,6.1,AP,Andrea Otero
0720976,20111,YRU1037,4,CLF,7.2,AP,Desmond Yang
0720976,20111,HOW1491,2,IAG,6.3,AP,Janet Mayo
0720976,20111,HOW1491,2,CLF,,CD,Janet Mayo
0720976,20111,OBK1818,4,QGI,4.7,RM,Roman Asakawa
0720976,20111,AKJ1977,4,UKE,4.4,RM,Roman Asakawa
0720976,20112,PGS1160,4,QXY,,CL,Joseph Fish
0720976,20112,HTR1952,4,IAG,6.7,AP,Sonia Gonzales
0720976,20112,AHR1808,4,CLF,7,AP,Brooke Gilbert
0720976,20112,OBK1818,4,UPY,6.2,AP,Omar Mathe
0720976,20112,OBK1818,4,QFI,,CD,Andy Fabrizio
0720976,20112,AKJ1977,4,TPC,,CD,Roman Asakawa
0720976,20112,AKJ1977,4,GGR,5.2,AP,Hannah Davis
0720976,20121,VRY1444,4,QBW,8.9,AP,David Jenks
0720976,20121,DAN1561,4,IAG,5.3,AP,Kenneth Abeyta
0720976,20121,DAN1561,4,CLF,,CD,Mariah Bills
0720976,20121,HCV1283,4,CLF,6.7,AP,Ivan Hoang
0720976,20121,RXL1676,4,IAG,,CD,Angel Ramirez-Ramirez
0720976,20121,QBY1274,4,IAG,7.3,AP,Micah Cortez Ballesteros
0720976,20122,AOR1164,2,AHE,8.5,AP,Jung Johnston
0720976,20122,TBA1383,4,PAZ,,CD,Chelsea Long
0720976,20122,TOG1719,4,QXY,8.8,AP,Theodore Jones
0720976,20122,KIU1613,4,UFI,,CL,Laird Thomas
0720976,20122,OPG1830,2,UFI,,CL,Vivian Simon-Thomas
0720976,20122,OGJ1002,4,IAG,,CL,Ahmed Hoang
0720976,20122,RXL1676,4,CLF,,CL,Alicia Caballero
0720976,20122,TFL1187,4,IAG,,CL,Samantha Garcia
0720976,20122,FTT1655,4,CLF,6.5,AP,William Bailey
0720976,20122,DOI1181,4,HLB,,CD,Roman Asakawa
0720976,20131,GYX1745,4,IAG,,CL,Aidan Moua
0720976,20131,OGJ1002,4,IAG,,CD,Jordan Carrillo Aguirre
0720976,20131,RXL1676,4,CLF,8.4,AP,Alicia Caballero
0720976,20131,QGQ1106,4,IAG,,CD,Samantha Garcia
0720976,20131,GWN1997,4,IAG,7.6,AP,Manuel Tat
0720976,20131,PBJ1031,4,CLF,7,AP,Kokenia Zapata Figueroa
0720976,20131,ZAB1614,4,IAG,,CD,Matthew Thesz
0720976,20131,LJU1802,4,DYN,,CL,James Bogart
0720976,20132,LOU1757,4,ISQ,,CL,Eileen Killen
0720976,20132,KIU1613,4,UFI,1.4,RM,Michael Jung
0720976,20132,OPG1830,2,SCP,5,AP,Corey Qi
0720976,20132,OPG1830,2,BFR,,CD,Gustavo Ekanayake
0720976,20132,OGJ1002,4,IAG,5,AP,Ahmed Hoang
0720976,20132,LKZ1904,4,IAG,,CJ,Alexus Duron
0720976,20132,ZAB1614,4,IAG,0.6,RM,Marina-Ashley Greene
0720976,20132,EFJ1215,4,IAG,5,AP,Janet Mayo
0720421,20072,YON1382,6,ISQ,7.7,AP,Ahmed Hoang
0720421,20072,SNA1707,6,ISQ,4.3,RM,Remy Mutagamba
0720421,20072,IJT1308,5,ISQ,6,AP,Desiree Pruitt
0720421,20072,XMM1516,2,SDR,7.5,AP,Amina Aragon
0720421,20072,XDO1241,5,ISQ,5,AP,Dana Martizna
0720421,20081,KIU1613,4,OMD,5,AP,Aaliyah Plascencia
0720421,20081,OPG1830,2,UFI,4.3,RM,Kelly Chambers
0720421,20081,MKK1957,4,SSC,7.3,AP,Luz Hernandez
0720421,20081,GLJ1776,6,BAX,2.8,RM,Briana Taylor
0720421,20081,AKJ1977,4,VWA,,CL,William Gutierrez
0720421,20082,LBG1213,4,BFR,5.7,AP,Giovanni Kim
0720421,20082,GOZ1785,4,IAG,5,AP,Cody Robinson
0720421,20082,HOW1491,2,CLF,7.6,AP,Janet Mayo
0720421,20082,NPP1979,2,IAG,,CD,Cody Robinson
0720421,20082,GLJ1776,6,BAX,1.5,RM,Andrea Otero
0720421,20091,QNI1752,4,PSZ,,CL,Jacob Shepard
0720421,20091,TBA1383,4,MNK,,CL,Matthew-Angelo Vialpando
0720421,20091,DAN1561,4,WZI,6.2,AP,Jaime Smrekar
0720421,20091,HCV1283,4,IAG,3.6,RM,Ahmed Hoang
0720421,20091,PBJ1031,4,IAG,2.8,RM,Gerardo Nguyen
0720421,20091,GLJ1776,6,UKE,5.1,AP,Kiearra Madera
0720421,20092,TBA1383,4,EBR,5.8,AP,Jacob Shepard
0720421,20092,OPG1830,2,SCP,5,AP,Jocelyn Gutierrez
0720421,20092,RXL1676,4,IAG,,CL,Angel Ramirez-Ramirez
0720421,20092,ZAB1614,4,IAG,5.7,AP,Alejandro Pan
0720421,20092,OBK1818,4,BAX,1.6,RM,Briana Taylor
0720421,20092,AKJ1977,4,SCP,1.7,RM,Ruby Willingham
0720421,20101,HCV1283,4,WZI,,CD,Ahmed Hoang
0720421,20101,RXL1676,4,CLF,,CL,Alicia Caballero
0720421,20101,AHR1808,4,IAG,6.3,AP,Jordan Dixon Jr
0720421,20101,PBJ1031,4,IAG,,CD,Jaime Smrekar
0720421,20101,PBJ1031,4,WZI,5.1,AP,Kokenia Zapata Figueroa
0720421,20101,FTT1655,4,IAG,1.5,RM,Ryan Kascak
0720421,20101,AKJ1977,4,CBJ,,CL,Andy Fabrizio
0720421,20102,QNI1752,4,QGN,8,AP,Jung Johnston
0720421,20102,LCG1141,4,IAG,5,AP,Ahmed Hoang
0720421,20102,AXF1492,4,IAG,6.1,AP,Giovanni Kim
0720421,20102,CQL1043,4,IAG,5.3,AP,Dana Martizna
0720421,20111,RXL1676,4,IAG,8.4,AP,Angel Ramirez-Ramirez
0720421,20111,FTT1655,4,IAG,2,RM,Cody Robinson
0720421,20111,AKJ1977,4,UFI,5.6,AP,Hannah Davis
0720421,20112,VRY1444,4,OJA,9.3,AP,Cameron Fisher
0720421,20112,HCV1283,4,IAG,5.1,AP,Sydnei Chavez
0720421,20112,QUT1986,4,IAG,,CL,Alexander Bartelt
0720421,20112,OBK1818,4,YZA,,CD,Yihang Unruh
0720421,20112,OBK1818,4,UPY,,CL,Omar Mathe
0720421,20121,AOR1164,2,AYJ,8.8,AP,Brandy Aragon
0720421,20121,OGJ1002,4,IAG,0.6,RM,Jordan Carrillo Aguirre
0720421,20121,OUT1489,4,IAG,6.7,AP,Alejandro Pan
0720421,20121,OBK1818,4,AIU,,CL,Andy Fabrizio
0720421,20122,YJL1484,4,FZD,6.8,AP,Grace Adams
0720421,20122,CLS1569,4,IAG,9,AP,Janet Mayo
0720421,20122,OGJ1002,4,IAG,5.2,AP,Ahmed Hoang
0720421,20122,OBK1818,4,BAX,3.4,RM,Amanda Henningsen
0720421,20131,CAB1609,4,FZD,7.3,AP,Grace Adams
0720421,20131,TZF1949,4,FZD,5.7,AP,Grace Adams
0720421,20131,LMU1326,2,SQE,9.3,AP,Les Nguyen
0720421,20131,GWN1997,4,IAG,6.2,AP,Manuel Tat
0720421,20131,LKZ1904,4,IAG,5,AP,Alexus Duron
0720421,20131,QUT1986,4,IAG,5,AP,Alexander Bartelt
0720421,20132,AFE1114,4,IAG,7.5,AP,Carsen Williams
0720421,20132,ZKO1742,4,IAG,7.4,AP,Carsen Williams
0720421,20132,IDF1211,4,IAG,8.7,AP,Shianne Mcmillan
0720421,20132,TBN1198,4,IAG,9.2,AP,Animoan Brown
0720421,20132,PSW1036,4,IAG,8.3,AP,Saul Kawamura
0720393,20072,AZB1132,2,QGI,8.7,AP,Alan Baldino
0720393,20072,WRC1627,4,IWZ,6,AP,Kelsey Zott
0720393,20072,YIV1842,6,IWZ,5,AP,Nicole Gentles
0720393,20072,FMS1407,3,IWZ,6.1,AP,Sheyenne Malcolm
0720393,20072,DWU1433,4,OMD,,CL,Robert Sanchez
0720393,20081,QNI1752,4,PSM,9,AP,Daniela Salazar
0720393,20081,QNI1752,4,QGN,,CJ,Danielle Macias
0720393,20081,CZQ1472,4,BFR,,CL,Aaliyah Plascencia
0720393,20081,XGC1837,2,BAX,,CA,Aaliyah Plascencia
0720393,20081,MKK1957,4,SHL,6.4,AP,Jourdayn Birch
0720393,20081,CSH1051,4,QBM,8.1,AP,Myles Krishnan
0720393,20081,XMM1516,2,WNV,,CA,Hannah Martinez
0720393,20081,XMM1516,2,FSN,5.3,AP,Jeremiah Park
0720393,20081,RLR1915,6,YZA,,CJ,Lawrence Oh
0720393,20081,RLR1915,6,QFI,2.4,RM,Maria Guadalupe Aragon
0720393,20081,HBF1988,4,XOG,8.8,AP,Tijan Choi
0720393,20082,TBA1383,4,QXY,,CL,Jacob Shepard
0720393,20082,CZQ1472,4,XOG,2.5,RM,Aaliyah Plascencia
0720393,20082,XGC1837,2,UPY,5.3,AP,Corey Qi
0720393,20082,LBG1213,4,HLB,0.8,RM,Lariza Merlos
0720393,20082,PFB1675,4,DYN,5.2,AP,Myles Krishnan
0720393,20082,RLR1915,6,AIU,4.2,RM,Roman Asakawa
0720393,20082,AKJ1977,4,UPY,,CL,Briana Taylor
0720393,20091,CZQ1472,4,UPY,4,RM,Rebecca Savage Jr
0720393,20091,LBG1213,4,SCP,5.3,AP,Janet Mayo
0720393,20091,RLR1915,6,HLB,6.4,AP,Erik Stewart
0720393,20091,DWU1433,4,UKE,3.3,RM,Gina Mills
0720393,20092,VRY1444,4,KHQ,,CA,Chelsea Turner
0720393,20092,CZQ1472,4,AIU,5,AP,Jo'Vonte Miyagi
0720393,20092,OBK1818,4,AIU,5.2,AP,Pedro Baliga
0720393,20092,AKJ1977,4,UFI,5,AP,Roman Asakawa
0720393,20092,DWU1433,4,VWA,4.1,RM,Gina Mills
0720393,20101,DOF1526,4,ZOD,9.6,AP,Samuel Castro
0720393,20101,YLN1319,2,PDH,5.8,AP,Michael Curry
0720393,20101,XFW1558,4,BFR,4.4,RM,Dallas Williams-Bierman
0720393,20101,ODX1244,2,XOG,,CJ,Travis Wauneka
0720393,20101,ODX1244,2,UPY,,CD,Travis Wauneka
0720393,20101,ODX1244,2,QFI,7.8,AP,Travis Wauneka
0720393,20101,HOW1491,2,IAG,4,RM,Janet Mayo
0720393,20101,HCV1283,4,IAG,3.4,RM,Ahmed Hoang
0720393,20101,WVZ1249,2,TLO,,CJ,Tanishia Lynch
0720393,20101,DOI1181,4,HLB,,CL,Jennifer Mosher
0720393,20102,VRY1444,4,XPW,6,AP,Daniela Salazar
0720393,20102,XFW1558,4,UPY,5.3,AP,Aaliyah Plascencia
0720393,20102,DAN1561,4,IAG,,CJ,Jaime Smrekar
0720393,20102,HOW1491,2,IAG,5,AP,Janet Mayo
0720393,20102,HCV1283,4,CLF,7.5,AP,Ivan Hoang
0720393,20102,ZAB1614,4,IAG,,CL,Alejandro Pan
0720393,20102,DOI1181,4,UPY,2.7,RM,Roman Asakawa
0720393,20111,AOR1164,2,NJO,8,AP,Edwin Shea
0720393,20111,AMP1538,4,HLB,0.7,RM,Michael Jung
0720393,20111,QSJ1299,2,HLB,6.1,AP,Makda Anaya
0720393,20111,GOZ1785,4,CLF,3.1,RM,Cody Robinson
0720393,20111,AHR1808,4,IAG,3.6,RM,Brooke Gilbert
0720393,20111,WVZ1249,2,TLO,9.5,AP,Jazmine Barrandey
0720393,20111,DOI1181,4,UPY,3,RM,Jennifer Chavez
0720393,20112,TBA1383,4,ANB,7.3,AP,Chelsea Long
0720393,20112,RXL1676,4,IAG,5.3,AP,Angel Ramirez-Ramirez
0720393,20112,DOI1181,4,AIU,1.2,RM,Chauncey Hrelja
0720393,20121,GUO1361,2,CLF,,CD,Ahmed Hoang
0720393,20121,DAN1561,4,CLF,6.2,AP,Mariah Bills
0720393,20121,OGJ1002,4,IAG,,CD,Jordan Carrillo Aguirre
0720393,20121,AHR1808,4,IAG,,CD,Brooke Gilbert
0720393,20121,ZAB1614,4,CLF,,CD,Desirae Johnson
0720393,20121,EFJ1215,4,IAG,6.9,AP,Janet Mayo
0720393,20121,DOI1181,4,SHL,5,AP,Roman Asakawa
0720393,20122,TGG1649,4,ISQ,,CL,Lashaundra Pena
0720393,20122,GUO1361,2,CLF,6.2,AP,Ahmed Hoang
0720393,20122,GOZ1785,4,CLF,2.5,RM,Dongyoung Arroyo
0720393,20122,OGJ1002,4,IAG,5.3,AP,Ahmed Hoang
0720393,20122,AHR1808,4,IAG,6,AP,Brooke Gilbert
0720393,20122,PBJ1031,4,CLF,5.2,AP,Dongyoung Arroyo
0720393,20122,XGA1316,4,IAG,,CL,Mariah Bills
0720393,20122,AGD1579,4,VWE,5.6,AP,Kaylee Tracy
0720393,20131,LOU1757,4,ISQ,5.1,AP,Erin Ortiz Lopez
0720393,20131,GOZ1785,4,CLF,6,AP,Dongyoung Arroyo
0720393,20131,GWN1997,4,IAG,7,AP,Manuel Tat
0720393,20131,LKZ1904,4,IAG,5.2,AP,Alexus Duron
0720393,20131,ZAB1614,4,IAG,2.3,RM,Matthew Thesz
0720393,20131,VQP1780,4,IAG,,CL,Hunter Simmons
0720393,20132,LMU1326,2,FDO,6.8,AP,Les Nguyen
0720393,20132,TGG1649,4,ISQ,1.7,RM,Lashaundra Pena
0720393,20132,CLS1569,4,IAG,5,AP,Janet Mayo
0720393,20132,FTT1655,4,IAG,5.8,AP,William Bailey
0720393,20132,ZAB1614,4,IAG,5.2,AP,Marina-Ashley Greene
0720393,20132,QUT1986,4,IAG,5.7,AP,Alexander Bartelt
0810246,20081,KIU1613,4,QFI,7.1,AP,Jocelyn Gutierrez
0810246,20081,OPG1830,2,QFI,8.4,AP,Aaliyah Plascencia
0810246,20081,MKK1957,4,YZA,8.1,AP,Brooke Gilbert
0810246,20081,PBJ1031,4,IAG,4.3,RM,Jaime Smrekar
0810246,20081,GLJ1776,6,BAX,6.4,AP,Briana Taylor
0810246,20081,AKJ1977,4,VWA,6.3,AP,William Gutierrez
0810246,20082,QNI1752,4,RHR,7,AP,Kyle Van
