matrícula,período,disciplina,créditos,turma,grau,sit-final,professor
813812,20091,JUR1131,4,2HX,,CJ,DIOGO RUDGE MALAN
813812,20091,JUR1431,4,2HB,,CL,FABIO CARVALHO LEITE
813812,20091,JUR1431,4,2HX,,CJ,FRANCISCO DE GUIMARAENS
813812,20091,JUR1631,4,2HB,,CL,GUSTAVO SENECHAL DE GOFFREDO
813812,20091,JUR1631,4,2HX,,CJ,OTAVIO AUGUSTO DE CASTRO BRAVO
813812,20091,JUR1831,6,2HX,,CL,CARLOS NELSON DE PAULA KONDER
813812,20091,SOC1302,4,2HB,9.3,AP,BERNARDO VELLOSO FERNANDEZ CONDE
813812,20092,FIS1033,4,33D,7.3,AP,ANTONIO CARLOS OLIVEIRA BRUNO
813812,20092,FIS1034,2,33B,8.9,AP,ANTONIO CARLOS OLIVEIRA BRUNO
813812,20092,MAT1161,6,33E,8.9,AP,TANIA MARIA BOFFONI SIMOES DE FARIA
813812,20092,MAT1200,4,33E,6.7,AP,MONICA MOREIRA BARROS
813812,20092,QUI1709,2,33X,9.1,AP,ROSELI MARTINS DE SOUZA
813812,20092,QUI1720,4,33W,4.4,RM,PERCIO AUGUSTO MARDINI FARIAS
820296,20082,ART1050,3,1AE,10,AP,CARLOS ANDRE LAMEIRAO CORTES
820296,20082,ART1052,2,1AA,8.4,AP,GUILHERME DE ALMEIDA XAVIER
820296,20082,DSG1001,10,1AG,8.8,AP,NATHALIA CHEHAB DE SA CAVALCANTE
820296,20082,DSG1101,2,1AB,8.4,AP,IRINA ARAGAO DOS SANTOS
820296,20082,DSG1141,2,1AB,5.7,AP,LEONARDO CARDARELLI LEITE
820296,20082,DSG1301,3,1AA,8.2,AP,ELIZABETH BASTOS GRANDMASSON CHAVES
820296,20082,LET1910,4,1AD,9,AP,CLARISSA ROLLIN PINHEIRO BASTOS
820296,20082,PSI1130,2,1AC,7.2,AP,TATIANA BARBOSA CARVALHO
820296,20091,CRE1100,4,7TN,9,AP,GERALDO LUIZ CAMPOS C DE OLIVEIRA
820296,20091,CRE1100,4,7TS,,CD,THEOPHILO ANTONIO DA ROCHA MATTOS
820296,20091,DSG1002,10,1AG,8.8,AP,RITA MARIA DE SOUZA COUTO
820296,20091,DSG1111,2,1AC,9.8,AP,ALESSANDRA CARUSI MACHADO BEZERRA
820296,20091,DSG1131,2,1AB,7.7,AP,ELIZABETH BASTOS GRANDMASSON CHAVES
820296,20091,DSG1142,3,1AH,9.6,AP,GUILHERME DE ALMEIDA XAVIER
820296,20091,DSG1517,3,1AA,,CL,ANA LUIZA MORALES DE AGUIAR
820296,20091,DSG1635,2,1AC,9.3,AP,MARCO ANTONIO MAGALHAES LIMA
820296,20092,COM1721,2,2AA,7.8,AP,LENIVALDO GOMES DE ALMEIDA
820296,20092,DSG1003,10,1AA,4.6,RM,SIMONE CARVALHO DE FORMIGA XAVIER
820296,20092,DSG1144,3,1AE,,CD,ANDRE DE FREITAS RAMOS
820296,20092,DSG1144,3,1AF,9.9,AP,FRANCISCO OLIVEIRA DE QUEIROZ
820296,20092,DSG1151,3,1AF,,CL,CARLOS EDUARDO FELIX DA COSTA
820296,20092,DSG1321,3,1AB,8.1,AP,SUZANA VALLADARES FONSECA
820296,20092,SOC1114,4,2AB,9.9,AP,CARLA FERREIRA SOARES
820296,20101,ART1051,3,1AA,,CL,SHEILA DAIN
820296,20101,ART1051,3,1AE,,CD,CRISTINA ADAM SALGADO GUIMARAES
820296,20101,DSG1003,10,1AG,,CL,JULIETA COSTA SOBRAL
820296,20101,DSG1103,2,1AA,,CL,SUZANA VALLADARES FONSECA
820296,20101,DSG1143,3,1AB,,CD,ANDRE DE FREITAS RAMOS
820296,20101,DSG1143,3,1AE,7.8,AP,JOAO DE SA BONELLI
820296,20101,DSG1304,2,1AB,8.6,AP,GIUSEPPE AMADO DE OLIVEIRA
820296,20101,DSG1331,2,1AB,7,AP,EDNA LUCIA OLIVEIRA DA CUNHA LIMA
820296,20102,ART1051,3,1AA,9,AP,SHEILA DAIN
820296,20102,COM1720,2,2AD,9.6,AP,MARIA CRISTINA BRAVO DE MORAES
820296,20102,DSG1003,10,1AD,,CL,EDUARDO PUCU DE ARAUJO
820296,20102,DSG1151,3,1AF,,CL,CARLOS EDUARDO FELIX DA COSTA
820296,20102,DSG1303,3,1AC,9.8,AP,GUILHERME AZEVEDO TOLEDO
820296,20111,DSG1003,10,1AG,,AT,AUGUSTO SEIBEL MACHADO
820296,20111,DSG1311,4,1AC,,AT,JULIETA COSTA SOBRAL
820296,20111,FIS1130,2,3AE,,AT,ALEXANDRE BALIU BRAUTIGAM
820296,20112,INF1004,4,3WB,4.2,RM,JOSE CARLOS RAMALHO MOREIRA
820296,20112,INF1008,2,3WB,6.6,AP,LUIZ FERNANDO BESSA SEIBEL
820296,20112,INF1009,4,3WB,5,AP,HORISTA A CONTRATAR
820296,20112,INF1403,4,3WB,1.1,RM,CLARISSE SIECKENIUS DE SOUZA
820296,20112,MAT1161,6,33Y,6.1,AP,HELIO CORTES VIEIRA LOPES
820296,20121,INF1004,4,3WB,7.2,AP,JOSE CARLOS RAMALHO MOREIRA
820296,20121,INF1012,2,3WA,6.3,AP,ARES
820296,20121,INF1012,2,3WB,,CD,ARES
820296,20121,MAT1162,4,33P,4.7,RM,MONICA MOREIRA BARROS
820296,20121,MAT1200,4,33W,4.4,RM,MONICA MOREIRA BARROS
820296,20122,FIL1211,4,1CA,,CL,KATIA RODRIGUES MURICY
820296,20122,INF1006,4,3WA,6.7,AP,BRUNO FEIJO
820296,20122,INF1383,4,3WB,7,AP,SERGIO LIFSCHITZ
820296,20122,MAT1162,4,33F,6.2,AP,LUANA SA DE AZEVEDO
820296,20122,MAT1162,4,33I,,CD,DEBORA FREIRE MONDAINI
820296,20122,MAT1200,4,33Y,,CD,MONICA MOREIRA BARROS
820296,20122,MAT1200,4,33Z,5.2,AP,ANA CRISTINA BERNARDO DE OLIVEIRA
820296,20131,CRE1127,4,7TS,8.9,AP,MARCOS VINICIO MIRANDA VIEIRA
820296,20131,INF1010,4,3WA,5.3,AP,MARCO ANTONIO CASANOVA
820296,20131,INF1010,4,3WB,,CD,MARCELO GATTASS
820296,20131,INF1018,4,3WB,6.7,AP,ANA LUCIA DE MOURA
820296,20131,INF1301,4,3WA,,CD,ALESSANDRO FABRICIO GARCIA
820296,20131,INF1340,4,3WA,7.3,AP,MARCOS VIANNA VILLAS
820296,20132,CRE1141,2,7TF,8.5,AP,MARCO ANTONIO GUSMAO BONELLI
820296,20132,FIL1000,4,1EA,,CD,VERA MARIA PEREIRA DE M HENRIQUES
820296,20132,FIL1210,4,1CA,8.8,AP,ELSA HELENA BUADAS WIBMER
820296,20132,FIS1033,4,33V,,CL,RODRIGO PRIOLI MENEZES
820296,20132,FIS1034,2,33V,,CL,JEFFERSON FERRAZ DAMASCENO F ARAUJO
820296,20132,INF1019,4,3WA,,CL,LUIZ FERNANDO BESSA SEIBEL
820296,20132,INF1301,4,3WB,,CL,FLAVIO HELENO BEVILACQUA E SILVA
820296,20132,INF1341,4,3WA,,CL,ROGERIO LUIS DE CARVALHO COSTA
820296,20132,INF1626,4,3WB,6.5,AP,BRUNO LOPES VIEIRA
820296,20132,MAT1154,4,33G,,CD,MONICA MOREIRA BARROS
820296,20141,INF1011,4,3WA,,CL,ROBERTO IERUSALIMSCHY
820296,20141,INF1019,4,3WA,,CD,MARKUS ENDLER
820296,20141,INF1301,4,3WB,8.4,AP,FLAVIO HELENO BEVILACQUA E SILVA
820296,20141,INF1374,4,3WA,,CD,ROGERIO LUIS DE CARVALHO COSTA
820296,20141,INF1377,4,3WA,7.6,AP,JULIO CESAR SAMPAIO DO PRADO LEITE
820296,20141,INF1403,4,3WB,7,AP,ALBERTO BARBOSA RAPOSO
820296,20141,INF1631,4,3WA,,CD,MARCUS VINICIUS S P DE ARAGAO
820296,20141,LET1113,4,1DA,,CL,LEONARDO BERENGER ALVES CARNEIRO
820296,20142,ENG1029,4,3VA,,CL,REINALDO CASTRO SOUZA
820296,20142,FIS1033,4,33V,1.4,RM,DANIEL SOARES VELASCO
820296,20142,FIS1034,2,33B,5,AP,VERA LUCIA VIEIRA BALTAR
820296,20142,FIS1034,2,33C,,CD,ALEXANDER ARGUELLO QUIROGA
820296,20142,INF1019,4,3WA,5,AP,LUIZ FERNANDO BESSA SEIBEL
820296,20142,INF1413,4,3WA,,CJ,ARNDT VON STAA
820296,20142,INF1631,4,3WA,0.6,RM,EDUARDO SANY LABER
820296,20142,INF1636,4,3WA,5,AP,ARES
820290,20082,INF1315,6,3VA,7.7,AP,LUIZ FERNANDO BESSA SEIBEL
820290,20082,INF1381,6,3VA,4.3,RM,ALEXANDRE MALHEIROS MESLIN
820290,20082,INF1401,5,3VA,6,AP,SERGIO EMANUEL DIAS CAMPOS
820290,20082,LET1920,2,1VA,7.5,AP,CLARISSA ROLLIN PINHEIRO BASTOS
820290,20082,MAT1002,5,3VA,5,AP,MYRIAM SERTA COSTA
820290,20091,FIS1033,4,33R,5,AP,WALDEMAR MONTEIRO DA SILVA JUNIOR
820290,20091,FIS1034,2,33V,4.3,RM,ROSANE RIERA FREIRE
820290,20091,INF1005,4,33K,7.3,AP,CAROLINA DE LIMA AGUILAR
820290,20091,MAT1161,6,33H,2.8,RM,TANIA MARIA BOFFONI SIMOES DE FARIA
820290,20091,MAT1200,4,33X,,CL,SERGIO BERNARDO VOLCHAN
820290,20092,INF1007,4,33C,5.7,AP,HORISTA A CONTRATAR
820290,20092,INF1009,4,3WA,5,AP,EDWARD HERMANN HAEUSLER
820290,20092,INF1012,2,3WB,7.6,AP,ARES
820290,20092,INF1822,2,3WA,,CD,EDWARD HERMANN HAEUSLER
820290,20092,MAT1161,6,33H,1.5,RM,HELIO CORTES VIEIRA LOPES
820290,20101,CRE1100,4,7ED,,CL,CURSO A DISTANCIA
820290,20101,FIL1000,4,1HB,,CL,VINICIUS DE CARVALHO MONTEIRO
820290,20101,INF1010,4,3WC,6.2,AP,SIMONE DINIZ JUNQUEIRA BARBOSA
820290,20101,INF1018,4,3WA,3.6,RM,LUIZ FERNANDO BESSA SEIBEL
820290,20101,INF1403,4,3WA,2.8,RM,CLARISSE SIECKENIUS DE SOUZA
820290,20101,MAT1161,6,33W,5.1,AP,ALEX LAIER BORDIGNON
820290,20102,FIL1000,4,1CD,5.8,AP,CURSO A DISTANCIA
820290,20102,FIS1034,2,33B,5,AP,ANTONIO CARLOS OLIVEIRA BRUNO
820290,20102,INF1301,4,3WA,,CL,ALESSANDRO FABRICIO GARCIA
820290,20102,INF1631,4,3WA,5.7,AP,RUY LUIZ MILIDIU
820290,20102,MAT1162,4,33H,1.6,RM,TANIA MARIA BOFFONI SIMOES DE FARIA
820290,20102,MAT1200,4,33B,1.7,RM,CHRISTINE SERTA COSTA
820290,20111,INF1018,4,3WC,,CD,LUIZ FERNANDO BESSA SEIBEL
820290,20111,INF1301,4,3WB,,CL,FLAVIO HELENO BEVILACQUA E SILVA
820290,20111,INF1383,4,3WA,6.3,AP,RUBENS NASCIMENTO MELO
820290,20111,INF1403,4,3WA,,CD,SIMONE DINIZ JUNQUEIRA BARBOSA
820290,20111,INF1403,4,3WC,5.1,AP,ALBERTO BARBOSA RAPOSO
820290,20111,INF1626,4,3WA,1.5,RM,ALEXANDRE RADEMAKER
820290,20111,MAT1200,4,33T,,CL,DEBORA FREIRE MONDAINI
820290,20112,CRE1100,4,7TH,8,AP,MARCO ANTONIO GUSMAO BONELLI
820290,20112,INF1020,4,3WA,5,AP,LUIZ FERNANDO BESSA SEIBEL
820290,20112,INF1337,4,3WA,6.1,AP,HORISTA A CONTRATAR
820290,20112,MAT1210,4,3WA,5.3,AP,MYRIAM SERTA COSTA
820290,20121,INF1301,4,3WA,8.4,AP,ALESSANDRO FABRICIO GARCIA
820290,20121,INF1626,4,3WA,2,RM,EDWARD HERMANN HAEUSLER
820290,20121,MAT1200,4,33V,5.6,AP,ANA CRISTINA BERNARDO DE OLIVEIRA
820290,20122,CRE1127,4,7TW,9.3,AP,THEOPHILO ANTONIO DA ROCHA MATTOS
820290,20122,INF1018,4,3WA,5.1,AP,NOEMI DE LA ROCQUE RODRIGUEZ
820290,20122,INF1771,4,3WA,,CL,EDIRLEI EVERSON SOARES DE LIMA
820290,20122,MAT1162,4,33D,,CD,AMERICO BARBOSA DA CUNHA JUNIOR
820290,20122,MAT1162,4,33F,,CL,LUANA SA DE AZEVEDO
820290,20131,CRE1141,2,4TE,8.8,AP,MARIA CARMEN CASTANHEIRA AVELAR
820290,20131,INF1019,4,3WA,0.6,RM,MARKUS ENDLER
820290,20131,INF1721,4,3WA,6.7,AP,RUY LUIZ MILIDIU
820290,20131,MAT1162,4,33A,,CL,DEBORA FREIRE MONDAINI
820290,20132,ADM1010,4,2WA,6.8,AP,RICARDO NOLLA RUIZ
820290,20132,INF1013,4,3WA,9,AP,ARES
820290,20132,INF1019,4,3WA,5.2,AP,LUIZ FERNANDO BESSA SEIBEL
820290,20132,MAT1162,4,33H,3.4,RM,JYRKO CORREA MORRIS
820290,20141,ADM1006,4,2WA,7.3,AP,RICARDO NOLLA RUIZ
820290,20141,ADM1019,4,2WA,5.7,AP,RICARDO NOLLA RUIZ
820290,20141,CRE1172,2,7TA,9.3,AP,JOAO ANTONIO SILVEIRA LINS SUCUPIRA
820290,20141,INF1377,4,3WA,6.2,AP,JULIO CESAR SAMPAIO DO PRADO LEITE
820290,20141,INF1413,4,3WA,5,AP,ARNDT VON STAA
820290,20141,INF1771,4,3WA,5,AP,EDIRLEI EVERSON SOARES DE LIMA
820290,20142,INF1021,4,3WA,7.5,AP,FRANCIS BERENGER MACHADO
820290,20142,INF1023,4,3WA,7.4,AP,FRANCIS BERENGER MACHADO
820290,20142,INF1408,4,3WA,8.7,AP,EDMUNDO BASTOS TORREAO
820290,20142,INF1410,4,3WA,9.2,AP,MARCANTONIO GIUSEPPE MARIA C FABRA
820290,20142,INF1414,4,3WA,8.3,AP,GUSTAVO ROBICHEZ DE CARVALHO
820156,20082,CTC1002,2,33P,8.7,AP,ANDRE RIBEIRO DE OLIVEIRA
820156,20082,FIS1100,4,33S,6,AP,JORGE LUIS GONZALEZ ALFONSO
820156,20082,MAT1005,6,33S,5,AP,JULIANA VIANNA VALERIO
820156,20082,QUI1701,3,33S,6.1,AP,LUCIA MARIA DE CARVALHO FORTES
820156,20082,QUI1720,4,33R,,CL,PERCIO AUGUSTO MARDINI FARIAS
820156,20091,CRE1100,4,7T3,9,AP,JOAO GERALDO MACHADO BELLOCCHIO
820156,20091,CRE1100,4,7TH,,CJ,PAULO ALVES ROMAO
820156,20091,FIS1026,4,33C,,CL,WALDEMAR MONTEIRO DA SILVA JUNIOR
820156,20091,FIS1027,2,33H,,CA,WALDEMAR MONTEIRO DA SILVA JUNIOR
820156,20091,INF1005,4,33J,6.4,AP,COORDENADOR DE CURSO
820156,20091,LET1501,4,1DD,8.1,AP,EUGENIA MARIA PIRES KOELER
820156,20091,LET1920,2,13C,,CA,TANIA CONCEICAO PEREIRA
820156,20091,LET1920,2,13I,5.3,AP,ADRIANA GRAY DA SILVA REIS
820156,20091,MAT1158,6,33D,,CJ,RAFAEL OSWALDO RUGGIERO RODRIGUEZ
820156,20091,MAT1158,6,33I,2.4,RM,RAIMUNDO SAMPAIO NETO
820156,20091,MEC1400,4,33E,8.8,AP,JOSE PAULO SILVA DE PAULA
